"item_code","category_code","item_name","fkko_code","hazard_class"
"82491000000","OSSG","Отходы затвердевших строительных смесей прочих","82491000000","5"
"82491111204","OSSG","отходы штукатурки затвердевшей малоопасные","82491111204","5"
"82531511204","OSSG","лом и отходы минераловолокнистых потолочных плит на основе перлита, пригодные для утилизации","82531511204","5"
"82600000000","OSSG","Отходы рулонных кровельных и гидроизоляционных материалов","82600000000","5"
"82610000000","OSSG","Отходы битумных, дегтевых, дегтебитумных, битумополимерных, резино-дегтевых и битумных безосновных материалов","82610000000","5"
"82611111203","OSSG","отходы битума нефтяного строительного","82611111203","5"
"82611131713","OSSG","отходы битумной изоляции трубопроводов","82611131713","5"
"82611311313","OSSG","отходы пропитки битумной для упрочнения асфальтобетонного покрытия","82611311313","5"
"82614131714","OSSG","отходы битумно-полимерной изоляции трубопроводов","82614131714","5"
"82614311313","OSSG","отходы пропитки битумно-полимерной для упрочнения асфальтобетонного покрытия","82614311313","5"
"82620000000","OSSG","Отходы строительных материалов на основе картона (рубероид, пергамин, толь) незагрязненные","82620000000","5"
"82621001514","OSSG","отходы рубероида","82621001514","5"
"82622001514","OSSG","отходы толи","82622001514","5"
"82630000000","OSSG","Отходы строительных материалов на стеклооснове","82630000000","5"
"82631011204","OSSG","отходы изопласта незагрязненные","82631011204","5"
"82632111204","OSSG","отходы строительных материалов на основе стеклоизола незагрязненные","82632111204","5"
"82634111204","OSSG","отходы гидроизоляционных материалов на основе стекловолокна и синтетического каучука","82634111204","5"
"82700000000","OSSG","Отходы строительных материалов на основе пластмасс и полимеров, не вошедшие в Блок 4","82700000000","5"
"82710000000","OSSG","Отходы линолеумов, полимерных плиток","82710000000","5"
"82710001514","OSSG","отходы линолеума незагрязненные","82710001514","5"
"82720000000","OSSG","Отходы полимерных кровельных материалов","82720000000","5"
"82731111504","OSSG","отходы труб полимерных при замене, ремонте инженерных коммуникаций","82731111504","5"
"82740000000","OSSG","Отходы полимерных антикоррозионных покрытий","82740000000","5"
"82742311714","OSSG","отходы полимерного антикоррозийного рулонного покрытия для защиты трубопроводов","82742311714","5"
"82790000000","OSSG","Отходы строительных материалов на основе пластмасс и полимеров прочие","82790000000","5"
"82792111293","OSSG","отходы монтажной пены","82792111293","5"
"82799001724","OSSG","смесь незагрязненных строительных материалов на основе полимеров, содержащая поливинилхлорид","82799001724","5"
"82822000000","OSSG","Отходы многослойных строительных изделий, материалов","82822000000","5"
"82822111524","OSSG","отходы сэндвич-панелей металлических с утеплителем из пенопласта на основе поливинилхлорида","82822111524","5"
"82900000000","OSSG","Прочие отходы строительства и ремонта зданий, сооружений","82900000000","5"
"82913111205","OSSG","отходы опалубки деревянной, загрязненной бетоном","82913111205","5"
"82913211624","OSSG","отходы древесные при демонтаже временных дорожных покрытий","82913211624","5"
"82915111624","OSSG","отходы дублированных текстильных материалов для строительства, загрязненных цементом, бетоном, строительным раствором","82915111624","5"
"82917111714","OSSG","отходы кровельных и изоляционных материалов в смеси при ремонте кровли зданий и сооружений","82917111714","5"
"82918111424","OSSG","пыль полиуретана при резке панелей с полиуретановым утеплителем","82918111424","5"
"82924000000","OSSG","Отходы при ремонте элементов систем водо- и газопроводов, канализационных сетей","82924000000","5"
"82924111405","OSSG","отходы зачистки тепловых камер и непроходных каналов при ремонте теплотрасс","82924111405","5"
"83000000000","OSSG","ОТХОДЫ ПРИ ДЕМОНТАЖЕ, РЕМОНТЕ АВТОДОРОЖНЫХ ПОКРЫТИЙ","83000000000","5"
"83010001715","OSSG","лом дорожного полотна автомобильных дорог (кроме отходов битума и асфальтовых покрытий)","83010001715","5"
"83020001714","OSSG","лом асфальтовых и асфальтобетонных покрытий","83020001714","5"
"84000000000","OSSG","ОТХОДЫ ПРИ ДЕМОНТАЖЕ, РЕМОНТЕ ЖЕЛЕЗНОДОРОЖНОГО ПУТЕВОГО ХОЗЯЙСТВА","84000000000","5"
"84100000000","OSSG","Шпалы железнодорожные отработанные","84100000000","5"
"84100001513","OSSG","шпалы железнодорожные деревянные, пропитанные антисептическими средствами, отработанные","84100001513","5"
"84111111514","OSSG","шпалы железнодорожные деревянные, пропитанные масляным антисептиком, отработанные","84111111514","5"
"84121111524","OSSG","шпалы железнодорожные железобетонные отработанные","84121111524","5"
"84121112525","OSSG","шпалы железнодорожные железобетонные отработанные практически неопасные","84121112525","5"
"84200000000","OSSG","Отходы балласта, грунта, образовавшиеся при ремонте железнодорожных путей, загрязненные нефтепродуктами","84200000000","5"
"84210000000","OSSG","Отходы балласта при зачистке железнодорожных путей","84210000000","5"
